DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;209,7
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;222,8
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;209,7
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;222,8
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;190,5
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;197,7
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;210,8
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;2;TARDE;2;MATEMÁTICA;214,1
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;203,5
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;9;GERAL;2;MATEMÁTICA;208,3
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;226,5
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,5
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;191,8
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;2;TARDE;2;MATEMÁTICA;210,4
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;210,8
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;9;GERAL;2;MATEMÁTICA;232,8
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;243
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;258,8
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;213,7
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;2;TARDE;2;MATEMÁTICA;230,7
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;240,5
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,5
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;231,6
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;250,4
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;221,1
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;2;TARDE;2;MATEMÁTICA;239
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;230,1
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,9
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;249,5
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;275,9
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;249,5
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;9;GERAL;2;MATEMÁTICA;275,9
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;221,9
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;229,6
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;221,9
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;9;GERAL;2;MATEMÁTICA;229,6
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;253
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;273,4
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;253
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;9;GERAL;2;MATEMÁTICA;273,4
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;194,7
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;203,9
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;195,8
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;2;TARDE;2;MATEMÁTICA;180,5
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;195,4
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;9;GERAL;2;MATEMÁTICA;187,9
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;193
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;207,3
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;198,2
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;2;TARDE;2;MATEMÁTICA;217,7
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;195,8
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;9;GERAL;2;MATEMÁTICA;213
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;242,5
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,6
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;242,5
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,6
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;237,7
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,9
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;222,5
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;2;TARDE;2;MATEMÁTICA;241,7
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,9
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,3
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;221,6
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;236,4
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;231
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;2;TARDE;2;MATEMÁTICA;236,7
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;227,5
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;236,6
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;220
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;241,3
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;220
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;9;GERAL;2;MATEMÁTICA;241,3
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;204,7
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;205,9
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;200,3
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;2;TARDE;2;MATEMÁTICA;198
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;201,7
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;9;GERAL;2;MATEMÁTICA;200,5
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;214,6
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;231,6
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;206,4
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;2;TARDE;2;MATEMÁTICA;219,2
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;212,5
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;9;GERAL;2;MATEMÁTICA;228,4
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;236,5
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,7
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;237,8
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;2;TARDE;2;MATEMÁTICA;251,4
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;236,8
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,6
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;204,2
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;215,6
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;200,5
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;2;TARDE;2;MATEMÁTICA;219,3
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;202,8
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;9;GERAL;2;MATEMÁTICA;217
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;218
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,8
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;235,2
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;2;TARDE;2;MATEMÁTICA;259,7
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;223,5
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;9;GERAL;2;MATEMÁTICA;249,6
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;250,6
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;267,5
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;242,2
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;2;TARDE;2;MATEMÁTICA;251,1
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;248,1
