NO_MUNICIPIO,TP_DEPENDENCIA,QT_DOC_BAS,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_QUADRA_ESPORTES,IN_REFEITORIO,ANO
São Paulo,2,20.0,326.0,326.0,0.0,0.0,0.0,318.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,41.0,684.0,684.0,0.0,0.0,0.0,658.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2023
São Paulo,2,21.0,367.0,0.0,93.0,0.0,0.0,0.0,86.0,254.0,27.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,49.0,986.0,0.0,143.0,0.0,0.0,0.0,133.0,598.0,255.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,16.0,280.0,0.0,0.0,0.0,0.0,0.0,2.0,264.0,14.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,52.0,929.0,283.0,282.0,0.0,0.0,269.0,277.0,334.0,49.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,22.0,379.0,379.0,0.0,0.0,0.0,366.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,64.0,1783.0,0.0,564.0,0.0,0.0,2.0,534.0,987.0,260.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,28.0,503.0,237.0,266.0,0.0,0.0,231.0,261.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,23.0,416.0,194.0,222.0,0.0,0.0,182.0,214.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
