DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;266
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;9;GERAL;2;MATEMÁTICA;263,7
1;1;Rede Estadual;5;156;AGUDOS;EM-3ª série;9;GERAL;3;CIÊNCIAS;268,5
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;178,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;2;TARDE;2;MATEMÁTICA;193,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;178,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;9;GERAL;2;MATEMÁTICA;193,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;183,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;2;MATEMÁTICA;199
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;3;CIÊNCIAS;208,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;183,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;2;MATEMÁTICA;199
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;3;CIÊNCIAS;208,8
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;241
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;245,3
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;258,6
